iter	Passed	Remaining
595	13187	8939
596	13207	8915
597	13229	8893
598	13248	8869
599	13269	8846
600	13292	8824
601	13310	8800
602	13332	8777
603	13351	8753
604	13372	8730
605	13392	8707
606	13413	8684
607	13436	8662
608	13458	8641
609	13480	8618
610	13501	8595
611	13523	8573
612	13543	8550
613	13564	8527
614	13584	8503
615	13606	8481
616	13627	8458
617	13652	8439
618	13675	8417
619	13696	8394
620	13721	8374
621	13741	8350
622	13762	8328
623	13783	8305
624	13807	8284
625	13828	8261
626	13851	8240
627	13872	8217
628	13894	8195
629	13915	8172
630	13936	8149
631	13957	8127
632	13979	8104
633	14001	8082
634	14025	8062
635	14047	8039
636	14066	8016
637	14090	7994
638	14113	7973
639	14135	7951
640	14154	7927
641	14177	7906
642	14199	7883
643	14222	7861
644	14243	7839
645	14268	7818
646	14291	7797
647	14315	7776
648	14338	7754
649	14360	7732
650	14382	7710
651	14402	7687
652	14422	7663
653	14444	7641
654	14468	7620
655	14489	7598
656	14510	7575
657	14530	7552
658	14551	7529
659	14570	7506
660	14592	7483
661	14612	7460
662	14634	7438
663	14653	7414
664	14671	7390
665	14692	7368
666	14712	7345
667	14731	7321
668	14756	7301
669	14780	7279
670	14801	7257
671	14820	7233
672	14839	7210
673	14859	7187
674	14881	7164
675	14902	7142
676	14924	7120
677	14945	7098
678	14971	7077
679	14991	7054
680	15012	7032
681	15034	7010
682	15057	6988
683	15079	6966
684	15102	6944
685	15126	6923
686	15146	6900
687	15167	6878
688	15189	6856
689	15212	6834
690	15231	6811
691	15253	6789
692	15272	6765
693	15293	6743
694	15311	6719
695	15331	6696
696	15352	6674
697	15375	6652
698	15396	6629
699	15416	6607
700	15439	6585
701	15462	6563
702	15486	6542
703	15511	6521
704	15533	6499
705	15553	6477
706	15575	6454
707	15598	6433
708	15620	6411
709	15641	6388
710	15667	6368
711	15692	6347
712	15716	6326
713	15740	6305
714	15764	6283
715	15789	6262
716	15810	6240
717	15835	6219
718	15858	6197
719	15881	6176
720	15900	6152
721	15923	6131
722	15949	6110
723	15970	6088
724	15994	6067
725	16015	6044
726	16044	6024
727	16064	6002
728	16090	5981
729	16113	5959
730	16135	5937
731	16157	5915
732	16179	5893
733	16202	5871
734	16227	5850
735	16252	5829
